iter	Passed	Remaining
0	55	559247
1	59	298401
2	63	210932
3	66	165820
4	68	137522
5	71	118618
6	73	105187
7	76	95222
8	79	87715
9	81	81653
10	84	76809
11	87	72671
12	89	69033
13	92	65746
14	94	63026
15	97	60780
16	100	58730
17	102	56952
18	105	55239
19	107	53753
20	110	52359
21	112	51173
22	115	49994
23	117	48936
24	120	47958
25	122	47088
26	125	46290
27	127	45548
28	130	44841
29	133	44216
30	135	43620
31	138	43054
32	140	42544
33	143	42031
34	145	41553
35	148	41156
36	151	40730
37	153	40358
38	156	39968
39	159	39624
40	161	39302
41	164	38990
42	166	38656
43	169	38348
44	172	38082
45	174	37785
46	177	37551
47	180	37323
48	182	37066
49	185	36855
50	187	36640
51	190	36430
52	192	36208
53	195	36008
54	198	35820
55	200	35616
56	203	35446
57	205	35264
58	208	35105
59	210	34929
60	213	34763
61	215	34589
62	218	34424
63	220	34305
64	223	34175
65	226	34071
66	228	33935
67	231	33822
68	234	33720
69	236	33618
70	239	33501
71	242	33369
72	244	33271
73	247	33198
74	249	33074
75	252	32955
76	255	32870
77	257	32758
78	260	32670
79	262	32559
80	265	32493
81	267	32413
82	270	32349
83	273	32261
84	275	32158
85	278	32084
86	280	32004
87	283	31907
88	285	31813
89	288	31732
90	291	31766
91	294	31707
92	297	31688
93	300	31665
94	303	31669
95	306	31614
96	309	31555
97	311	31494
98	314	31406
99	316	31364
100	319	31318
101	322	31299
102	325	31253
103	328	31231
104	330	31173
105	333	31118
106	335	31046
107	338	30982
108	340	30917
109	343	30850
110	345	30797
111	348	30747
112	351	30730
113	354	30714
114	357	30704
115	359	30663
116	362	30598
117	365	30580
118	367	30524
119	370	30498
120	373	30463
121	375	30418
122	378	30376
123	380	30336
124	383	30292
125	385	30245
126	388	30203
127	390	30148
128	393	30102
129	396	30067
130	398	30025
131	400	29968
132	403	29934
133	406	29900
134	408	29865
135	411	29827
136	413	29785
137	416	29746
138	418	29710
139	421	29677
140	424	29668
141	427	29665
142	430	29656
143	432	29624
144	435	29590
145	437	29554
146	440	29508
147	442	29474
148	445	29444
149	447	29413
150	450	29380
151	453	29354
152	455	29341
153	458	29304
154	461	29281
155	463	29259
156	466	29250
157	469	29242
158	472	29229
159	474	29201
160	477	29184
161	480	29153
162	482	29118
163	485	29098
164	487	29067
165	490	29052
166	493	29048
167	496	29041
168	499	29041
169	502	29033
170	504	29015
171	507	29007
172	510	28989
173	512	28961
174	515	28947
175	518	28942
176	521	28936
177	523	28913
178	526	28889
179	529	28867
180	531	28845
181	535	28891
182	540	28968
183	545	29090
184	549	29142
185	551	29122
186	554	29110
187	557	29091
188	560	29072
189	562	29059
190	565	29050
191	568	29047
192	571	29049
193	574	29044
194	577	29049
195	580	29053
196	583	29044
197	586	29032
198	588	29004
199	591	28997
200	594	28999
201	597	28996
202	600	28980
203	603	28963
204	606	28973
205	609	28960
206	612	28955
207	615	28962
208	618	28968
209	621	28981
210	624	28970
211	627	28954
212	630	28947
213	632	28927
214	635	28906
215	637	28881
216	640	28896
217	643	28871
218	645	28848
219	649	28860
220	652	28886
221	656	28904
222	658	28886
223	661	28863
224	663	28832
225	666	28804
226	668	28791
227	671	28776
228	674	28764
229	677	28772
230	680	28774
231	682	28750
232	685	28728
233	688	28717
234	690	28697
235	693	28685
236	696	28678
237	698	28658
238	701	28639
239	703	28618
240	706	28608
241	709	28601
242	712	28604
243	715	28601
244	717	28584
245	720	28569
246	723	28549
247	725	28531
248	728	28534
249	731	28524
250	734	28514
251	736	28502
252	739	28493
253	742	28487
254	745	28472
255	747	28455
256	750	28445
257	753	28436
258	755	28416
259	758	28407
260	760	28389
261	763	28375
262	766	28387
263	769	28395
264	772	28391
265	775	28390
266	778	28379
267	781	28361
268	783	28349
269	786	28347
270	789	28336
271	791	28322
272	794	28309
273	797	28293
274	799	28283
275	802	28273
276	805	28257
277	807	28235
278	809	28215
279	812	28194
280	815	28194
281	818	28194
282	822	28226
283	825	28224
284	827	28223
285	831	28228
286	833	28224
287	837	28229
288	839	28221
289	842	28206
290	844	28187
291	847	28175
292	850	28164
293	852	28152
294	855	28143
295	858	28133
296	860	28127
297	864	28130
298	867	28144
299	870	28143
300	873	28131
301	875	28121
302	878	28106
303	880	28089
304	883	28077
305	885	28066
306	888	28061
307	891	28057
308	894	28052
309	897	28056
310	900	28045
311	902	28031
312	905	28016
313	908	28014
314	910	28006
315	913	27994
316	916	27987
317	918	27977
318	921	27966
319	923	27950
320	926	27929
321	928	27909
322	931	27894
323	933	27890
324	937	27898
325	940	27899
326	942	27889
327	945	27883
328	948	27885
329	951	27872
330	953	27861
331	956	27858
332	959	27849
333	961	27834
334	964	27824
335	967	27816
336	969	27804
337	972	27796
338	975	27786
339	977	27775
340	980	27774
341	983	27765
342	985	27754
343	988	27738
344	990	27725
345	993	27716
346	995	27702
347	998	27689
348	1001	27684
349	1003	27673
